IATA_CODE,LATITUDE,LONGITUDE
MRY,36.58698,-121.84295
MSN,43.13986,-89.33751
MSO,46.91631,-114.09056
MSP,44.88055,-93.21692
MSY,29.99339,-90.25803
MTJ,38.50887,-107.89383
MVY,41.39303,-70.61433
MYR,33.67975,-78.92833
OAJ,34.82916,-77.61214
OAK,37.72129,-122.22072
OGG,20.89865,-156.43046
OKC,35.39309,-97.60073
OMA,41.30252,-95.89417
OME,64.5122,-165.44525
ONT,34.056,-117.60119
ORD,41.9796,-87.90446
ORF,36.89461,-76.20122
ORH,42.26734,-71.87571
OTH,43.41714,-124.24603
OTZ,66.88468,-162.59855
PAH,37.06083,-88.77375
PBG,,
PBI,26.68316,-80.09559
PDX,45.58872,-122.5975
PHF,37.1319,-76.49299
PHL,39.87195,-75.24114
PHX,33.43417,-112.00806
PIA,40.66424,-89.69331
PIB,31.46715,-89.33706
PIH,42.91131,-112.59586
PIT,40.49147,-80.23287
PLN,45.57093,-84.79672
PNS,30.47331,-87.18744
PPG,14.33102,-170.71053
PSC,46.26468,-119.11903
PSE,18.0083,-66.56301
PSG,56.80165,-132.94528
PSP,33.82922,-116.50625
PUB,38.28909,-104.49657
PVD,41.724,-71.42822
PWM,43.64617,-70.30875
RAP,44.04532,-103.05737
RDD,40.50898,-122.2934
RDM,44.25407,-121.14996
RDU,35.87764,-78.78747
RHI,45.63119,-89.46745
RIC,37.50517,-77.31967
RKS,41.59422,-109.06519
RNO,39.49858,-119.76806
ROA,37.32547,-79.97543
ROC,43.11887,-77.67238
ROW,33.30156,-104.53056
RST,43.90883,-92.49799
RSW,26.53617,-81.75517
SAF,35.61678,-106.08814
SAN,32.73356,-117.18966
SAT,29.53369,-98.46978
SAV,32.12758,-81.20214
SBA,34.42621,-119.84037
SBN,41.70895,-86.31847
SBP,35.23706,-120.64239
SCC,70.19476,-148.46516
SCE,40.85121,-77.8463
SDF,38.17439,-85.736
SEA,47.44898,-122.30931
SFO,37.619,-122.37484
SGF,37.24433,-93.38686
SGU,37.09058,-113.59306
SHV,32.44663,-93.8256
SIT,57.04714,-135.3616
SJC,37.36186,-121.92901
SJT,31.35775,-100.49631
SJU,18.43942,-66.00183
SLC,40.78839,-111.97777
SMF,38.69542,-121.59077
SMX,34.89925,-120.45758
SNA,33.67566,-117.86822
SPI,39.84395,-89.67762
SPS,33.9888,-98.49189
SRQ,27.39533,-82.55411
STC,45.54532,-94.05834
STL,38.74769,-90.35999
STT,18.33731,-64.97336
STX,17.70189,-64.79856
SUN,43.50484,-114.29659
SUX,42.4026,-96.38437
SWF,41.50409,-74.10484
SYR,43.11119,-76.10631
TLH,30.39653,-84.35033
TOL,41.58681,-83.80783
TPA,27.97547,-82.53325
TRI,36.47521,-82.40742
TTN,40.27669,-74.81347
TUL,36.19837,-95.88824
TUS,32.11608,-110.94103
TVC,44.74144,-85.58224
TWF,42.4818,-114.48774
TXK,33.45371,-93.99102
TYR,32.35414,-95.40239
TYS,35.81249,-83.99286
UST,,
VEL,40.4409,-109.50992
VLD,30.7825,-83.27672
VPS,30.48325,-86.5254
WRG,56.48433,-132.36982
WYS,44.6884,-111.11764
XNA,36.28187,-94.30681
YAK,59.50336,-139.66023
YUM,32.65658,-114.60597
